Persona,UI_Element,Override_Value,Default_Value,Persona_Count,Persona_Share,Confidence,Support,Evidence,Evidence_Count
Minimalist,desktop_image_text_ratio,"Balanced (50% images, 50% text - equal emphasis)","Image-focused (80% images, 20% text - highly visual)",24,0.4898,0.489796,0.107143,"Statistics, Random Forest, SHAP",3
Minimalist,social_proof_display,Customer Reviews (Written reviews with ratings),User Photos (Photos uploaded by customers),23,0.4694,0.469388,0.102679,"Random Forest, SHAP",2
Minimalist,checkout_style,Progress Bar (Multi step with visual progress indicator),One Page (All checkout steps on a single scrolling page),18,0.3673,0.367347,0.080357,"Random Forest, SHAP",2
Minimalist,mobile_product_card,"Minimal Clean (Simple image, name, price - no clutter)","Info Rich (Lots of details, ratings, specs visible)",17,0.3469,0.346939,0.075893,"Random Forest, SHAP",2
Minimalist,desktop_product_card,"Minimal Clean (Simple image, name, price - no clutter)","Info Rich (Lots of details, ratings, specs visible)",16,0.3265,0.326531,0.071429,"Random Forest, SHAP",2
Researcher,desktop_review_display,All Paginated (Show all reviews with pagination),Recent 3- 5 (Show a few recent reviews),24,0.4444,0.444444,0.107143,"Statistics, Random Forest",2
Researcher,checkout_style,Progress Bar (Multi step with visual progress indicator),One Page (All checkout steps on a single scrolling page),21,0.3889,0.388889,0.09375,"Random Forest, SHAP",2
Researcher,recommendation_type,Category based (Similar items from the same category),Deals (Products on sale or special offers),20,0.3704,0.37037,0.089286,"Statistics, Random Forest",2
Researcher,desktop_navigation,Combination of top bar and dropdowns,Top Bar (Categories always visible across the top),17,0.3148,0.314815,0.075893,"Random Forest, SHAP",2
Researcher,form_field_style,"Filled Background (Shaded background, no border)",Rounded Border Fields (Outlined field with rounded corners),13,0.2407,0.240741,0.058036,"Statistics, Random Forest, SHAP",3
Researcher,color_theme_pref,"Vibrant Bold (Bright, energetic colors - exciting and dynamic)","Minimalist Black & White (Clean, high contrast, professional)",12,0.2222,0.222222,0.053571,"Statistics, Random Forest, SHAP",3
