Timestamp,consent,age_group,gender,education_level,primary_device,shopping_motivation,decision_speed,price_sensitivity,review_importance,brand_loyalty,social_proof_influence,primary_persona,check1,trait_introversion,trait_trust,trait_low_conscientiousness,trait_emotional_stability,check2,trait_low_openness,trait_extraversion,trait_agreeableness_reverse,trait_conscientiousness,trait_neuroticism,trait_openness,current_mood,font_style_pref,font_size_pref,color_theme_pref,accent_color_pref,background_pref,whitespace_pref,button_style_pref,hero_banner_size,recommendation_type,social_proof_display,urgency_pref,check3,checkout_style,form_field_style,product_desc_length,check4,desktop_grid_pref,desktop_info_density,desktop_image_text_ratio,desktop_whitespace,desktop_navigation,desktop_search_visibility,desktop_category_display,check5,desktop_product_card,desktop_price_display,desktop_filter_location,desktop_persistent_filters,desktop_quick_view,desktop_review_display,mobile_grid_pref,mobile_info_density,mobile_image_text_ratio,mobile_whitespace,mobile_navigation,mobile_search_visibility,mobile_category_display,mobile_product_card,mobile_price_display,mobile_filter_location,mobile_quick_view,mobile_review_display,mobile_sticky_header,mobile_touch_size,expects_device_adaptation,adaptation_comfort,delight_factors,frustration_points
22/01/2026 17:19:08,Yes,18-24,Female,Graduate,Smartphone,Need-based (I shop when I need something specific),Quick (5-15 minutes - I know what I want),Moderately important (I balance price and quality),Always read reviews (I won't buy without checking reviews),Often try new brands (I'm open to switching),Moderate influence (They help me decide),"The Researcher (I thoroughly research products, read reviews, compare options, and take my time making informed decisions)",3,3,2,4,2,3,3,4,3,5,2,3,Neutral,2. Classic Serif (Traditional fonts with decorative strokes like Times New Roman),"3. Large (16-18px - Easy to read, comfortable)","Vibrant Bold (Bright, energetic colors - exciting and dynamic)","Blue (Trustworthy, professional, calm)","Cream/Off-white (Warm, comfortable, paper-like)",Balanced (Moderate spacing - comfortable middle ground),"Rounded Corners (Soft, modern rounded edges)",Medium Split (Takes up half the screen),Deals (Products on sale or special offers),User Photos (Photos uploaded by customers),Both (Show both stock and time based urgency),Rounded Corners,One Page (All checkout steps on a single scrolling page),Material Design Style (Underline-focused field with animated label and focus accent),Expandable Sections (Organized into collapsible sections),3,"4 Columns (Compact view, many items visible at once)","Moderate (Balanced - some details visible, click for more)","Image-focused (80% images, 20% text - highly visual)",Balanced,Mega Menu (Dropdown with images and subcategories),"Always Visible Top (Large, prominent search bar always shown)",Visual Grid (Category tiles with images),3,"Badge Heavy (Shows bestseller, new, sale badges prominently)",Strike-through Original (Shows original price crossed out with sale price),Sidebar Left (Permanent filter panel on the left side),No (Prefer filters in a different location),New Tab (Opens product in a new browser tab),Ratings Bar Only (Visual breakdown of star ratings),List view with expandable details,"Detailed (All information visible - specs, reviews, descriptions)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Hamburger Menu (Three-line icon that opens a side menu),"Always Visible Top (Large, prominent search bar always shown)",Dropdown Menu (Text-based dropdown list),"Info Rich (Lots of details, ratings, specs visible)",Strike-through Original (Shows original price crossed out with sale price),Full-Screen Overlay (Displayed across screen),No Quick View (I prefer to go to the full product page),Summary Only (Average rating and total count),No (Header scrolls away with content),"Standard (Normal size, more content visible)",Somewhat Different (Adapted but recognizable),4,"For me, a great online shopping experience means a clean, fast website with intuitive navigation that makes finding products effortless. High-quality images, honest reviews, and a smooth checkout process build trust and comfort. Personal recommendations and responsive customer support are what really make me want to come back.","My main frustration when shopping online is reaching checkout and discovering hidden costs like high shipping fees or unexpected taxes. Slow-loading pages or a complicated checkout process also make me abandon purchases quickly. If a website feels confusing or untrustworthy, I immediately switch to another option."
22/01/2026 18:10:20,Yes,18-24,Female,Postgraduate,Smartphone,Need-based (I shop when I need something specific),Research-heavy (30+ minutes - I thoroughly research before buying),Moderately important (I balance price and quality),Always read reviews (I won't buy without checking reviews),Often try new brands (I'm open to switching),Slight influence (I notice but don't rely on them),"The Researcher (I thoroughly research products, read reviews, compare options, and take my time making informed decisions)",3,3,5,2,4,3,4,3,3,5,4,5,Neutral,2. Classic Serif (Traditional fonts with decorative strokes like Times New Roman),"3. Large (16-18px - Easy to read, comfortable)","Vibrant Bold (Bright, energetic colors - exciting and dynamic)","Blue (Trustworthy, professional, calm)","Light Gray (Soft, reduces eye strain)",Balanced (Moderate spacing - comfortable middle ground),"Rounded Corners (Soft, modern rounded edges)",Medium Split (Takes up half the screen),Deals (Products on sale or special offers),Customer Reviews (Written reviews with ratings),Both (Show both stock and time based urgency),Rounded Corners,Accordion (Expandable sections on one page),Underlined/ Minimal (Line underneath only),Moderate (Key details with option to expand),3,Mixed (Combination of different layouts),"Moderate (Balanced - some details visible, click for more)","Image-focused (80% images, 20% text - highly visual)",Balanced,Top Bar (Categories always visible across the top),"Always Visible Top (Large, prominent search bar always shown)",Visual Grid (Category tiles with images),3,"Info Rich (Lots of details, ratings, specs visible)",Bold Large (Price is the most prominent element),Sidebar Left (Permanent filter panel on the left side),Yes (Always visible sidebar with filters),New Tab (Opens product in a new browser tab),Summary Only (Average rating and total count),Single-column large cards (easy to scroll and tap),"Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Hamburger Menu (Three-line icon that opens a side menu),"Icon Only (Magnifying glass icon, opens search when clicked)",Visual Grid (Category tiles with images),"Minimal Clean (Simple image, name, price - no clutter)",Simple Display (Price is visible but not emphasized),Bottom Sheet (Slides up from bottom mobile style),Slide-Up Panel (Preview product details in a slide-up panel without leaving the product lis),Collapsible Sections (Reviews can be expanded or collapsed within the product details),Yes (Header stays at top while scrolling),"Standard (Normal size, more content visible)","Yes, Very Different (Completely different design for each device)",5,Easy navigation and check out process,Lag and craches
22/01/2026 18:26:22,Yes,25-34,Female,Graduate,Smartphone,Deal-hunting (I look for sales and discounts),Quick (5-15 minutes - I know what I want),Moderately important (I balance price and quality),Often read reviews (For most purchases),Balanced (I mix familiar and new brands),Strong influence (They significantly affect my choices),"The Deal Hunter (I'm motivated by sales, discounts, and getting the best value. I wait for promotions)",3,3,4,4,2,3,2,4,2,4,3,4,Neutral,"3. Rounded Friendly (Soft, approachable fonts with rounded edges)","3. Large (16-18px - Easy to read, comfortable)","Pastel Soft (Light, muted colors - gentle and soothing)","Blue (Trustworthy, professional, calm)","Cream/Off-white (Warm, comfortable, paper-like)",Balanced (Moderate spacing - comfortable middle ground),"Rounded Corners (Soft, modern rounded edges)",Small Strip (Thin banner across the top),Trending (What's popular right now),User Photos (Photos uploaded by customers),Both (Show both stock and time based urgency),Rounded Corners,Accordion (Expandable sections on one page),Material Design Style (Underline-focused field with animated label and focus accent),Expandable Sections (Organized into collapsible sections),3,"3 Columns (Balanced view, moderate item size)","Moderate (Balanced - some details visible, click for more)","Image-focused (80% images, 20% text - highly visual)",Balanced,Sidebar (Permanent navigation panel on the left),Collapsible (Search bar that expands when clicked),Visual Grid (Category tiles with images),3,"Badge Heavy (Shows bestseller, new, sale badges prominently)",With Savings Highlighted (Shows discount amount prominently),Top Bar (Filters displayed across the top),No (Prefer filters in a different location),Sidebar Slide (Details slide in from the right),All Paginated (Show all reviews with pagination),Swipeable horizontal cards (carousel style),"Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Hamburger Menu (Three-line icon that opens a side menu),Collapsible (Search bar that expands when clicked),Visual Grid (Category tiles with images),"Info Rich (Lots of details, ratings, specs visible)",Strike-through Original (Shows original price crossed out with sale price),Bottom Sheet (Slides up from bottom mobile style),No Quick View (I prefer to go to the full product page),Collapsible Sections (Reviews can be expanded or collapsed within the product details),Yes (Header stays at top while scrolling),"Standard (Normal size, more content visible)",Somewhat Different (Adapted but recognizable),5,"Having clear categories, proper filters, and highlighting current deals",Not having proper categories
22/01/2026 20:59:19,Yes,25-34,Male,Postgraduate,Smartphone,Deal-hunting (I look for sales and discounts),Research-heavy (30+ minutes - I thoroughly research before buying),Very important (I always look for the best price),Often read reviews (For most purchases),Balanced (I mix familiar and new brands),Slight influence (I notice but don't rely on them),"The Deal Hunter (I'm motivated by sales, discounts, and getting the best value. I wait for promotions)",3,4,4,3,4,3,2,3,2,4,1,3,Relaxed,"1. Modern Sans-serif (Clean, contemporary fonts like Arial or Helvetica)","3. Large (16-18px - Easy to read, comfortable)",Cool Blues (Blues and grays - calm and trustworthy),"Green (Natural, positive, go-ahead)","Light Gray (Soft, reduces eye strain)",Balanced (Moderate spacing - comfortable middle ground),"Pill-shaped (Fully rounded ends, very smooth)",Medium Split (Takes up half the screen),New Arrivals (Latest products added),User Photos (Photos uploaded by customers),Both (Show both stock and time based urgency),Rounded Corners,Accordion (Expandable sections on one page),Material Design Style (Underline-focused field with animated label and focus accent),Moderate (Key details with option to expand),3,"3 Columns (Balanced view, moderate item size)","Moderate (Balanced - some details visible, click for more)","Image-focused (80% images, 20% text - highly visual)",Spacious (clean and uncluttered),Top Bar (Categories always visible across the top),"Always Visible Top (Large, prominent search bar always shown)",Visual Grid (Category tiles with images),3,"Minimal Clean (Simple image, name, price - no clutter)",Strike-through Original (Shows original price crossed out with sale price),Sidebar Left (Permanent filter panel on the left side),Yes (Always visible sidebar with filters),Modal Popup (Product details appear in a centered overlay),Recent 3- 5 (Show a few recent reviews),Swipeable horizontal cards (carousel style),"Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Bottom Nav (Navigation bar at the bottom - mobile style),Collapsible (Search bar that expands when clicked),Dropdown Menu (Text-based dropdown list),"Info Rich (Lots of details, ratings, specs visible)",Strike-through Original (Shows original price crossed out with sale price),Drawer Overlay (Slides in from the side when clicked),Slide-Up Panel (Preview product details in a slide-up panel without leaving the product lis),Collapsible Sections (Reviews can be expanded or collapsed within the product details),Yes (Header stays at top while scrolling),"Standard (Normal size, more content visible)",Somewhat Different (Adapted but recognizable),3,Having items that are in wish list. Having notifications when price drops.,Paying witb credit to unknown sites
22/01/2026 21:36:10,Yes,25-34,Female,Graduate,Smartphone,Need-based (I shop when I need something specific),Research-heavy (30+ minutes - I thoroughly research before buying),Moderately important (I balance price and quality),Always read reviews (I won't buy without checking reviews),Balanced (I mix familiar and new brands),Slight influence (I notice but don't rely on them),"The Researcher (I thoroughly research products, read reviews, compare options, and take my time making informed decisions)",3,5,3,1,2,3,4,2,1,3,3,4,Relaxed,"3. Rounded Friendly (Soft, approachable fonts with rounded edges)","2. Medium (14-16px - Standard size, balanced)","Vibrant Bold (Bright, energetic colors - exciting and dynamic)","Orange (Energetic, friendly, warm)","Cream/Off-white (Warm, comfortable, paper-like)",Compact (Minimal spacing - more content visible at once),"Rounded Corners (Soft, modern rounded edges)","None (No promotional banner, go straight to products)",Deals (Products on sale or special offers),User Photos (Photos uploaded by customers),None (I find these annoying and manipulative),Rounded Corners,One Page (All checkout steps on a single scrolling page),"Filled Background (Shaded background, no border)",Detailed Full (All specifications and information visible),3,"4 Columns (Compact view, many items visible at once)","Minimal (Only key information - product name, price, image)","Image-focused (80% images, 20% text - highly visual)",Spacious (clean and uncluttered),Top Bar (Categories always visible across the top),"Icon Only (Magnifying glass icon, opens search when clicked)",Text List (Simple text links),3,"Minimal Clean (Simple image, name, price - no clutter)",Subtle Small (Price is visible but not emphasized),Sidebar Left (Permanent filter panel on the left side),Yes (Always visible sidebar with filters),Sidebar Slide (Details slide in from the right),All Paginated (Show all reviews with pagination),Compact stacked cards (more products per screen),"Minimal (Only key information - product name, price, image)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Bottom Nav (Navigation bar at the bottom - mobile style),"Always Visible Top (Large, prominent search bar always shown)",Mega Menu with Images (Large dropdown with category images and subcategories),"Minimal Clean (Simple image, name, price - no clutter)",Simple Display (Price is visible but not emphasized),Bottom Sheet (Slides up from bottom mobile style),No Quick View (I prefer to go to the full product page),Collapsible Sections (Reviews can be expanded or collapsed within the product details),No (Header scrolls away with content),"Large (Easier to tap, less content visible)",Somewhat Different (Adapted but recognizable),4,When reviews with pictures exist,Rating from 0 to 4 without any reason or description
22/01/2026 22:48:18,Yes,25-34,Female,Postgraduate,Smartphone,Need-based (I shop when I need something specific),Moderate (15-30 minutes - I compare a few options),Moderately important (I balance price and quality),Sometimes read reviews (For certain product types),Balanced (I mix familiar and new brands),Slight influence (I notice but don't rely on them),"The Minimalist (I want simple, efficient shopping. Show me what I need with minimal fuss)",3,2,4,1,3,3,1,5,2,3,4,5,Neutral,"3. Rounded Friendly (Soft, approachable fonts with rounded edges)",4. Extra Large (18+px - Maximum readability),"Vibrant Bold (Bright, energetic colors - exciting and dynamic)","Orange (Energetic, friendly, warm)","Soft Color (Subtle tint - light blue, pink, etc.)",Balanced (Moderate spacing - comfortable middle ground),"Rounded Corners (Soft, modern rounded edges)",Medium Split (Takes up half the screen),New Arrivals (Latest products added),Customer Reviews (Written reviews with ratings),Only on Request (Show only if I ask),Rounded Corners,One Page (All checkout steps on a single scrolling page),Underlined/ Minimal (Line underneath only),Brief Summary (Just the essential information),3,"2 Columns (Large product images, fewer items per row)","Minimal (Only key information - product name, price, image)","Image-focused (80% images, 20% text - highly visual)",Balanced,Top Bar (Categories always visible across the top),"Always Visible Top (Large, prominent search bar always shown)",Dropdown Menu (Text-based dropdown list),3,"Minimal Clean (Simple image, name, price - no clutter)",Bold Large (Price is the most prominent element),Sidebar Left (Permanent filter panel on the left side),Yes (Always visible sidebar with filters),Sidebar Slide (Details slide in from the right),Summary Only (Average rating and total count),Single-column large cards (easy to scroll and tap),"Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Bottom Nav (Navigation bar at the bottom - mobile style),"Icon Only (Magnifying glass icon, opens search when clicked)",Visual Grid (Category tiles with images),"Image Heavy (Large, prominent product photos)",Simple Display (Price is visible but not emphasized),Bottom Sheet (Slides up from bottom mobile style),Slide-Up Panel (Preview product details in a slide-up panel without leaving the product lis),Summary Only (Average rating and total count),Yes (Header stays at top while scrolling),"Large (Easier to tap, less content visible)",Somewhat Different (Adapted but recognizable),5,"Colors , designs , user friendly , summary, big buttons , attractive interface","Many steps , long descriptions"
22/01/2026 22:51:41,Yes,25-34,Female,Graduate,Smartphone,Entertainment (I browse for fun and enjoyment),Moderate (15-30 minutes - I compare a few options),Moderately important (I balance price and quality),Rarely read reviews (Only for expensive items),Balanced (I mix familiar and new brands),No influence (I ignore these indicators),"The Browser (I enjoy browsing and discovering products, often without immediate purchase intent)",3,3,4,2,4,3,1,3,2,4,2,4,Neutral,"1. Modern Sans-serif (Clean, contemporary fonts like Arial or Helvetica)","3. Large (16-18px - Easy to read, comfortable)","Vibrant Bold (Bright, energetic colors - exciting and dynamic)","Green (Natural, positive, go-ahead)","Cream/Off-white (Warm, comfortable, paper-like)","Spacious (Lots of spacing - clean, uncluttered, breathing room)","Rounded Corners (Soft, modern rounded edges)",Medium Split (Takes up half the screen),Deals (Products on sale or special offers),None (I don't need social proof indicators),None (I find these annoying and manipulative),Rounded Corners,One Page (All checkout steps on a single scrolling page),Outlined (Border around the field),Expandable Sections (Organized into collapsible sections),3,"2 Columns (Large product images, fewer items per row)","Moderate (Balanced - some details visible, click for more)","Image-focused (80% images, 20% text - highly visual)",Spacious (clean and uncluttered),Top Bar (Categories always visible across the top),"Always Visible Top (Large, prominent search bar always shown)",Text List (Simple text links),3,"Minimal Clean (Simple image, name, price - no clutter)",Strike-through Original (Shows original price crossed out with sale price),Top Bar (Filters displayed across the top),Yes (Always visible sidebar with filters),Modal Popup (Product details appear in a centered overlay),All Paginated (Show all reviews with pagination),Single-column large cards (easy to scroll and tap),"Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Bottom Nav (Navigation bar at the bottom - mobile style),"Always Visible Top (Large, prominent search bar always shown)",Mega Menu with Images (Large dropdown with category images and subcategories),"Minimal Clean (Simple image, name, price - no clutter)",Strike-through Original (Shows original price crossed out with sale price),Drawer Overlay (Slides in from the side when clicked),No Quick View (I prefer to go to the full product page),Collapsible Sections (Reviews can be expanded or collapsed within the product details),No (Header scrolls away with content),"Standard (Normal size, more content visible)",Somewhat Different (Adapted but recognizable),4,nan,nan
23/01/2026 00:50:57,Yes,18-24,Male,Graduate,Smartphone,Need-based (I shop when I need something specific),Research-heavy (30+ minutes - I thoroughly research before buying),Very important (I always look for the best price),Always read reviews (I won't buy without checking reviews),Balanced (I mix familiar and new brands),Moderate influence (They help me decide),"The Researcher (I thoroughly research products, read reviews, compare options, and take my time making informed decisions)",3,4,3,2,5,3,5,4,5,5,1,5,Relaxed,"3. Rounded Friendly (Soft, approachable fonts with rounded edges)","3. Large (16-18px - Easy to read, comfortable)","Vibrant Bold (Bright, energetic colors - exciting and dynamic)","Blue (Trustworthy, professional, calm)",Dark (Dark gray or black background),Balanced (Moderate spacing - comfortable middle ground),"Pill-shaped (Fully rounded ends, very smooth)",Medium Split (Takes up half the screen),Category based (Similar items from the same category),User Photos (Photos uploaded by customers),None (I find these annoying and manipulative),Rounded Corners,One Page (All checkout steps on a single scrolling page),Floating Labels (Label moves up when you type),Expandable Sections (Organized into collapsible sections),3,"3 Columns (Balanced view, moderate item size)","Moderate (Balanced - some details visible, click for more)","Image-focused (80% images, 20% text - highly visual)",Spacious (clean and uncluttered),Combination of top bar and dropdowns,Collapsible (Search bar that expands when clicked),Visual Grid (Category tiles with images),3,"Image Heavy (Large, prominent product photos)",Bold Large (Price is the most prominent element),Sidebar Left (Permanent filter panel on the left side),Yes (Always visible sidebar with filters),Modal Popup (Product details appear in a centered overlay),All Paginated (Show all reviews with pagination),Compact stacked cards (more products per screen),"Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Bottom Nav (Navigation bar at the bottom - mobile style),Collapsible (Search bar that expands when clicked),Visual Grid (Category tiles with images),"Info Rich (Lots of details, ratings, specs visible)",Bold Large (Price is the most prominent element),Bottom Sheet (Slides up from bottom mobile style),Slide-Up Panel (Preview product details in a slide-up panel without leaving the product lis),Summary Only (Average rating and total count),Yes (Header stays at top while scrolling),"Standard (Normal size, more content visible)",Similar (Mostly the same with minor adjustments),3,"No fluff , no to many badges and fake “deals” , smooth and straight forward experience.","To many fake deals badges , pop ups , out of stuck displays among in stock items"
23/01/2026 01:24:44,Yes,18-24,Female,Graduate,Smartphone,Need-based (I shop when I need something specific),Quick (5-15 minutes - I know what I want),Somewhat unimportant (Price matters but isn't a dealbreaker),Often read reviews (For most purchases),Often try new brands (I'm open to switching),Slight influence (I notice but don't rely on them),"The Impulsive Buyer (I make quick decisions based on intuition and emotion. If I like it, I buy it)",3,4,5,2,3,3,3,4,2,4,5,5,Excited,"3. Rounded Friendly (Soft, approachable fonts with rounded edges)","3. Large (16-18px - Easy to read, comfortable)","Warm Earthy (Browns, beiges, warm oranges - natural and cozy)","Blue (Trustworthy, professional, calm)","Cream/Off-white (Warm, comfortable, paper-like)","Spacious (Lots of spacing - clean, uncluttered, breathing room)","Rounded Corners (Soft, modern rounded edges)",Medium Split (Takes up half the screen),Deals (Products on sale or special offers),Ratings Only (Star ratings without detailed reviews),"Countdown Timers (Show ""Sale ends in 2 hours"")",Rounded Corners,One Page (All checkout steps on a single scrolling page),Rounded Border Fields (Outlined field with rounded corners),Expandable Sections (Organized into collapsible sections),3,"3 Columns (Balanced view, moderate item size)","Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Spacious (clean and uncluttered),Top Bar (Categories always visible across the top),"Icon Only (Magnifying glass icon, opens search when clicked)",Visual Grid (Category tiles with images),3,Card with Shadow (Raised card effect with drop shadow),With Comparison (Shows similar products' prices),Top Bar (Filters displayed across the top),No (Prefer filters in a different location),Sidebar Slide (Details slide in from the right),All Paginated (Show all reviews with pagination),Single-column large cards (easy to scroll and tap),"Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Hamburger Menu (Three-line icon that opens a side menu),"Icon Only (Magnifying glass icon, opens search when clicked)",Mega Menu with Images (Large dropdown with category images and subcategories),"Minimal Clean (Simple image, name, price - no clutter)",Bold Large (Price is the most prominent element),Full-Screen Overlay (Displayed across screen),Slide-Up Panel (Preview product details in a slide-up panel without leaving the product lis),Summary Only (Average rating and total count),Yes (Header stays at top while scrolling),"Standard (Normal size, more content visible)",Somewhat Different (Adapted but recognizable),4,Minimal design with warm colors and easy features,Unorganized steps and unease of finding features
23/01/2026 07:28:21,Yes,25-34,Female,Postgraduate,Smartphone,Research (I like exploring products and learning about them),Impulsive (Less than 5 minutes - I decide quickly),Moderately important (I balance price and quality),Often read reviews (For most purchases),Prefer familiar brands (I stick with what works),Strong influence (They significantly affect my choices),"The Impulsive Buyer (I make quick decisions based on intuition and emotion. If I like it, I buy it)",3,3,4,2,2,3,4,4,1,4,5,4,Excited,2. Classic Serif (Traditional fonts with decorative strokes like Times New Roman),"3. Large (16-18px - Easy to read, comfortable)","Pastel Soft (Light, muted colors - gentle and soothing)","Blue (Trustworthy, professional, calm)","Cream/Off-white (Warm, comfortable, paper-like)",Balanced (Moderate spacing - comfortable middle ground),"Pill-shaped (Fully rounded ends, very smooth)",Medium Split (Takes up half the screen),Trending (What's popular right now),Customer Reviews (Written reviews with ratings),"Countdown Timers (Show ""Sale ends in 2 hours"")",Rounded Corners,Progress Bar (Multi step with visual progress indicator),Rounded Border Fields (Outlined field with rounded corners),Expandable Sections (Organized into collapsible sections),3,"4 Columns (Compact view, many items visible at once)","Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Combination of top bar and dropdowns,"Icon Only (Magnifying glass icon, opens search when clicked)",Visual Grid (Category tiles with images),3,"Minimal Clean (Simple image, name, price - no clutter)",Bold Large (Price is the most prominent element),Sidebar Left (Permanent filter panel on the left side),Yes (Always visible sidebar with filters),Sidebar Slide (Details slide in from the right),All Paginated (Show all reviews with pagination),Swipeable horizontal cards (carousel style),"Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Full-screen category menu,"Icon Only (Magnifying glass icon, opens search when clicked)",Visual Grid (Category tiles with images),"Info Rich (Lots of details, ratings, specs visible)",Strike-through Original (Shows original price crossed out with sale price),Drawer Overlay (Slides in from the side when clicked),Slide-Up Panel (Preview product details in a slide-up panel without leaving the product lis),Collapsible Sections (Reviews can be expanded or collapsed within the product details),Yes (Header stays at top while scrolling),"Standard (Normal size, more content visible)",Similar (Mostly the same with minor adjustments),1,"Quality, designs, offers, prices",The tabs and pages are newly introduced and differ from the layout of the standard shopping experience
23/01/2026 11:28:39,Yes,18-24,Female,Graduate,Smartphone,Entertainment (I browse for fun and enjoyment),Research-heavy (30+ minutes - I thoroughly research before buying),Very important (I always look for the best price),Often read reviews (For most purchases),Often try new brands (I'm open to switching),Moderate influence (They help me decide),"The Browser (I enjoy browsing and discovering products, often without immediate purchase intent)",3,4,2,3,3,3,4,3,3,5,4,5,Relaxed,"1. Modern Sans-serif (Clean, contemporary fonts like Arial or Helvetica)","3. Large (16-18px - Easy to read, comfortable)","Vibrant Bold (Bright, energetic colors - exciting and dynamic)","Blue (Trustworthy, professional, calm)","Pure White (Clean, bright, maximum contrast)",Balanced (Moderate spacing - comfortable middle ground),"Pill-shaped (Fully rounded ends, very smooth)",Small Strip (Thin banner across the top),Deals (Products on sale or special offers),User Photos (Photos uploaded by customers),Only on Request (Show only if I ask),Rounded Corners,One Page (All checkout steps on a single scrolling page),Outlined (Border around the field),Moderate (Key details with option to expand),3,Mixed (Combination of different layouts),"Moderate (Balanced - some details visible, click for more)","Image-focused (80% images, 20% text - highly visual)",Balanced,Mega Menu (Dropdown with images and subcategories),Collapsible (Search bar that expands when clicked),Visual Grid (Category tiles with images),3,Card with Shadow (Raised card effect with drop shadow),With Comparison (Shows similar products' prices),Modal (Pops up in the center when clicked),Yes (Always visible sidebar with filters),Modal Popup (Product details appear in a centered overlay),Recent 3- 5 (Show a few recent reviews),Swipeable horizontal cards (carousel style),"Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Swipe-based navigation,"Always Visible Top (Large, prominent search bar always shown)",Mega Menu with Images (Large dropdown with category images and subcategories),"Image Heavy (Large, prominent product photos)",Strike-through Original (Shows original price crossed out with sale price),Bottom Sheet (Slides up from bottom mobile style),Direct navigation (Each product card includes a button that takes you directly to the product page when tapped),Summary Only (Average rating and total count),No (Header scrolls away with content),"Large (Easier to tap, less content visible)","Yes, Very Different (Completely different design for each device)",1,nan,nan
23/01/2026 12:09:10,Yes,18-24,Female,Graduate,Smartphone,Need-based (I shop when I need something specific),Moderate (15-30 minutes - I compare a few options),Very important (I always look for the best price),Often read reviews (For most purchases),Balanced (I mix familiar and new brands),Slight influence (I notice but don't rely on them),"The Researcher (I thoroughly research products, read reviews, compare options, and take my time making informed decisions)",3,3,4,5,1,3,4,5,2,4,5,4,Stressed,"4. Bold Impact (Strong, attention-grabbing fonts)","3. Large (16-18px - Easy to read, comfortable)","Vibrant Bold (Bright, energetic colors - exciting and dynamic)","Blue (Trustworthy, professional, calm)","Cream/Off-white (Warm, comfortable, paper-like)",Balanced (Moderate spacing - comfortable middle ground),"Outlined (Border only, no fill color)",Medium Split (Takes up half the screen),Deals (Products on sale or special offers),Customer Reviews (Written reviews with ratings),Both (Show both stock and time based urgency),Rounded Corners,One Page (All checkout steps on a single scrolling page),Floating Labels (Label moves up when you type),Expandable Sections (Organized into collapsible sections),3,"4 Columns (Compact view, many items visible at once)","Detailed (All information visible - specs, reviews, descriptions)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Combination of top bar and dropdowns,"Always Visible Top (Large, prominent search bar always shown)",Text List (Simple text links),3,"Info Rich (Lots of details, ratings, specs visible)",Strike-through Original (Shows original price crossed out with sale price),Sidebar Left (Permanent filter panel on the left side),Yes (Always visible sidebar with filters),Modal Popup (Product details appear in a centered overlay),All Paginated (Show all reviews with pagination),Compact stacked cards (more products per screen),"Moderate (Balanced - some details visible, click for more)","Balanced (50% images, 50% text - equal emphasis)",Balanced,Bottom Nav (Navigation bar at the bottom - mobile style),"Always Visible Top (Large, prominent search bar always shown)",Dropdown Menu (Text-based dropdown list),"Info Rich (Lots of details, ratings, specs visible)",Strike-through Original (Shows original price crossed out with sale price),Bottom Sheet (Slides up from bottom mobile style),Slide-Up Panel (Preview product details in a slide-up panel without leaving the product lis),Collapsible Sections (Reviews can be expanded or collapsed within the product details),Yes (Header stays at top while scrolling),"Standard (Normal size, more content visible)",Somewhat Different (Adapted but recognizable),5,- great deals - easy process - after purchase clear and flexible,Not enough info displayed No clear policies and after purchase process
